Dates ,DDH801 0         ,DuH801 0         ,FFH801 m/s       ,FuH801 m/s       ,PPH801 hPa       ,RHH801 %         ,RRH801 mm        ,T1H801 0C        ,T2H801 0C        ,T3H801 0C        ,T4H801 0C        ,T5H801 0C        ,T6H801 0C        ,VMH801 m/s       ,VuH801 m/s       
1/1/2009 0:30,55.5,51.4,3.39,3.65,1028.4,85,0.0,-3.3,-3.8,-4.0,-4.2,-4.3,-4.7,3.43,3.69
1/1/2009 1:00,50.6,46.4,3.54,3.86,1028.6,86,0.0,-3.1,-3.5,-3.7,-3.9,-4.0,-4.4,3.58,3.91
1/1/2009 1:30,66.2,61.7,3.36,3.68,1028.7,86,0.0,-2.8,-3.2,-3.4,-3.6,-3.7,-4.1,3.43,3.75
1/1/2009 2:00,77.5,73.2,3.20,3.47,1028.9,85,0.0,-2.1,-2.8,-3.0,-3.3,-3.3,-3.7,3.24,3.50
1/1/2009 2:30,88.2,84.0,3.61,3.97,1029.1,83,0.0,-1.7,-2.3,-2.9,-3.2,-3.2,-3.6,3.65,4.02
1/1/2009 3:00,96.2,92.3,3.82,4.13,1029.1,81,0.0,-1.4,-1.9,-2.4,-3.1,-3.1,-3.5,3.85,4.16
1/1/2009 3:30,94.0,89.5,3.54,3.72,1029.1,78,0.0,-1.6,-2.0,-2.2,-3.0,-3.1,-3.4,3.57,3.75
1/1/2009 4:00,84.0,79.6,3.45,3.40,1029.0,77,0.0,-1.5,-1.8,-2.0,-2.6,-2.9,-3.2,3.48,3.43
1/1/2009 4:30,81.4,77.0,2.68,2.47,1029.1,76,0.0,-1.4,-1.7,-1.8,-2.3,-2.8,-3.2,2.82,2.57
1/1/2009 5:00,153.1,146.5,1.65,1.31,1029.2,77,0.0,-1.7,-2.1,-2.2,-2.5,-2.8,-3.3,2.02,1.60
1/1/2009 5:30,151.6,138.0,1.16,0.90,1029.3,77,0.0,-1.8,-2.1,-2.3,-2.6,-2.9,-3.4,1.39,1.06
1/1/2009 6:00,169.3,161.7,2.32,1.88,1029.4,77,0.0,-1.8,-2.2,-2.2,-2.5,-2.8,-3.5,2.44,1.97
1/1/2009 6:30,169.5,163.3,2.50,2.12,1029.5,78,0.0,-1.9,-2.3,-2.0,-2.6,-3.0,-3.7,2.56,2.16
